species,ES 113,SBC 210,SBC 211,AT 292,SBC 62,AT 194,ES 23,ES 5,ABD 24,AT 290,ES 178,ES 115,SBC 67,ES 22,AT 90A,ES 90,AT 259,AT 239,ES 69,ES 87,AT 223,SBC 222,AT 226,AT 248,ES 99,SBC 66,AT 230,AT 249,ES 250,ES 20,AT 68A,SBC 155,AT 287,ES 18,SBC 64,ES 252,AT 251,AT 229,AT 254,ES 255,ES 105,SBC 65,AT 221,SBC (?/ES) 220,SBC 278,ES 15,ES 257,AT 256,AT 157,ES 14,SBC 276,SBC 68,ES 261,AT 192,ES 112,SBC 275,AT 219,ES 4,ABD 3,AT 107A,SBC 215,AT 228,SBC 160,SBC 159,AT 161,ES 12,AT 247,ES 264,ES 244,AT 245,AT 186,ES 182,AT 151,ES (?/AT) 218,AT 201,AT 233,ES 202,AT 273,AT 191,AT 195,AT 288,ES 289,ES 232,AT 153,SBC 216,AT 175,AT 198,AT 177,AT 181,ES 197,ES 200,AT 171,AT 144,ES 176,SBC 272,AT 271,ES 184,AT 154,SBC 166,AT 167,AT 114,AT 138,AT 139,SBC 60,ES 34,ES 10,ES 266,AT 267,AT 282,ES 2,ES 32,ES 31,SBC 46,SBC 188,ES 54,ES 55,ES 27,ES 28,SBC 174,ES 111,ES 180,ES 52,ES 53,ES 56,ES 143,AT 286,ES 190,ES 231,ES 129,ES 135,ES 137,ES 152,ES 57,ES 59,ES 6,ES 8,SBC 58,ES 204,ES 207,ES 285,SBC 205,ES 185,AT 119,AT 141,AT (?/ES) 169,AT 121,ES 118,ES 172,SBC 163,ES 140,SBC 150,ES 147,ES 164,ES 283,GT 1,GT 2,GT 8,GT 11,GT 16,SWT 50302,SWT 50303,SWT 10,SWT 11,SWT 12,SWT 13,AT 1,AT 3,SWT 16,SWT 17,SWT 18,SWT 32,OTSB 51001,13/83/1 OTSB,13/83/2 OTSB,13/83/3 GT,13/83/5 OTSB,13/83/6 OTSB,13/83/7 OTSB,9/84/2 OTSB,9/84/9 OTSB,9/84/13 OTSB,3/85/5 OTSB,3/85/7 OTSB,3/85/8 OTSB,3/85/9 OTSB,3/85/10 OTSB,3/85/13 OTSB,3/85/14 OTSB,3/85/17 OTSB,3/85/19 MBA,3/85/20 OTSB,3/85/23 OTSB,3/85/24 OTSB,3/85/25 OTSB,3/85/26 OTSB,3/85/27 OTSB,3/85/28 OTSB,3/85/29 OTSB,3/85/30 OTSB,3/85/31 OTSB,3/85/32 OTSB,3/85/33 OTSB,3/85/34 OTSB,3/85/36 OTSB,3/85/43 OTSB,3/85/46 OTSB,,,,,,,,,,,,,,,,,,
Asteronyx loveni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Astrodia tenuispina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Asteroschema inornatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Astrochele lymani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Gorgonocephalus caputmedusae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,4,0,1,2,4,6,4,2,0,0,3,0,1,2,6,0,1,,,,,,,,,,,,,,,,,,
